,polarity
0,-12.304349899291992
1,-11.87022590637207
2,-12.057867050170898
3,-11.92753791809082
4,-11.907898902893066
5,-12.178998947143555
6,-12.304349899291992
7,-11.508350372314453
8,-11.66231918334961
9,-12.057867050170898
10,-12.179719924926758
11,-11.625093460083008
12,-12.304349899291992
13,-11.625093460083008
14,-12.178998947143555
15,-11.790998458862305
16,-12.0654935836792
17,-11.840569496154785
18,-12.233919143676758
19,-11.099681854248047
20,-11.66231918334961
21,-11.643160820007324
22,-11.842662811279297
23,-12.304349899291992
24,-12.304349899291992
25,-12.037405014038086
26,-12.175252914428711
27,-12.186370849609375
28,-12.124177932739258
29,-9.290626525878906
30,-12.304349899291992
31,-12.304349899291992
32,-12.268482208251953
33,-11.743508338928223
34,-12.005575180053711
35,-11.643160820007324
36,-12.304349899291992
37,-11.790998458862305
38,-12.304349899291992
39,-11.643160820007324
40,-12.01905345916748
41,-12.132241249084473
42,-12.146760940551758
43,-12.304349899291992
44,-11.488031387329102
45,-12.304349899291992
46,-11.643160820007324
47,-11.66231918334961
48,-11.66231918334961
49,-12.304349899291992
50,-10.221962928771973
51,-11.386404037475586
52,-11.625093460083008
53,-11.573747634887695
54,-12.139444351196289
55,-12.17678451538086
56,-11.790998458862305
57,-12.243348121643066
58,-11.974723815917969
59,-12.098697662353516
60,-12.304349899291992
61,-12.212926864624023
62,-11.790998458862305
63,-11.793697357177734
64,-11.625093460083008
65,-11.68348503112793
66,-11.884537696838379
67,-11.607349395751953
68,-12.123263359069824
69,-12.065713882446289
70,-10.892695426940918
71,-11.88102912902832
72,-11.66231918334961
73,-9.968196868896484
74,-10.290069580078125
75,-11.643160820007324
76,-12.310508728027344
77,-11.469376564025879
78,-12.010757446289062
79,-11.53611946105957
80,-5.829629898071289
81,-12.304349899291992
82,-12.127158164978027
83,-11.75654411315918
84,-12.181577682495117
85,-12.022185325622559
86,-11.53611946105957
87,-12.178998947143555
88,-11.709362983703613
89,-11.691529273986816
90,-11.705047607421875
91,-11.990933418273926
92,-11.643160820007324
93,-11.945686340332031
94,-11.790998458862305
95,-12.178998947143555
96,-12.057867050170898
97,-11.66231918334961
98,-11.607349395751953
99,-11.625093460083008
100,-11.643160820007324
101,-11.643160820007324
102,-11.989907264709473
103,-11.66231918334961
104,-12.270711898803711
105,-11.75654411315918
106,-11.984174728393555
107,-11.790998458862305
108,-12.031806945800781
109,-12.010757446289062
110,-12.181577682495117
111,-12.255134582519531
112,-11.66231918334961
113,-11.976369857788086
114,-12.304349899291992
115,-11.488031387329102
116,-12.304349899291992
117,-12.304349899291992
118,-11.916982650756836
119,-12.304349899291992
120,-11.68348503112793
121,-12.304349899291992
122,-11.074874877929688
123,-12.29792594909668
124,-12.304349899291992
125,-12.304349899291992
126,-12.081930160522461
127,-11.66231918334961
128,-10.981925964355469
129,-12.157163619995117
130,-12.304349899291992
131,-11.625093460083008
132,-11.883430480957031
133,-11.363743782043457
134,-12.010757446289062
135,-12.304349899291992
136,-12.304349899291992
137,-12.304349899291992
138,-12.145309448242188
139,-11.625093460083008
140,-12.024776458740234
141,-12.304349899291992
142,-12.094602584838867
143,-12.304349899291992
144,-12.191277503967285
145,-11.66231918334961
146,-11.398258209228516
147,-12.010757446289062
148,-12.181577682495117
149,-12.220901489257812
150,-12.03681755065918
151,-11.824292182922363
152,-11.66231918334961
153,-11.198349952697754
154,-11.66231918334961
155,-12.304349899291992
156,-12.00849437713623
157,-12.304349899291992
158,-11.971630096435547
159,-12.34660530090332
160,-11.53611946105957
161,-12.057867050170898
162,-5.829629898071289
163,-11.57229995727539
164,-11.842662811279297
165,-11.488031387329102
166,-11.643160820007324
167,-11.675456047058105
168,-12.145277976989746
169,-11.971343994140625
170,-11.504683494567871
171,-12.19355583190918
172,-11.794153213500977
173,-6.568026065826416
174,-12.264965057373047
175,-12.123249053955078
176,-12.304349899291992
177,-11.80315113067627
178,-12.12298583984375
179,-11.560358047485352
180,-11.549419403076172
181,-12.304349899291992
182,-12.158525466918945
183,-12.304349899291992
184,-11.913708686828613
185,-11.680953025817871
186,-11.804511070251465
187,-11.872421264648438
188,-12.192094802856445
189,-12.311185836791992
190,-12.178998947143555
191,-11.75654411315918
192,-11.680953025817871
193,-11.88100528717041
194,-11.68348503112793
195,-7.835627555847168
196,-11.988576889038086
197,-12.304349899291992
198,-11.53611946105957
199,-11.92543888092041
200,-11.488031387329102
201,-12.212926864624023
202,-12.116693496704102
203,-12.304349899291992
204,-12.065713882446289
205,-11.977657318115234
206,-12.1950101852417
207,-8.939739227294922
208,-9.298853874206543
209,-11.643160820007324
210,-12.304349899291992
211,-11.969135284423828
212,-11.7964506149292
213,-11.680891036987305
214,-11.860620498657227
215,-11.972620010375977
216,-11.989907264709473
217,-11.625093460083008
218,-10.89767074584961
219,-12.004663467407227
220,-11.643160820007324
221,-12.223264694213867
222,-11.625093460083008
223,-10.870168685913086
224,-12.187447547912598
225,-11.681024551391602
226,-12.017793655395508
227,-11.682860374450684
228,-11.508350372314453
229,-11.681024551391602
230,-11.170144081115723
231,-11.66231918334961
232,-12.101564407348633
233,-11.904352188110352
234,-11.993696212768555
235,-12.158525466918945
236,-12.19563102722168
237,-11.960525512695312
238,-11.706548690795898
239,-11.2763671875
240,-12.057867050170898
241,-11.66231918334961
242,-12.136438369750977
243,-12.034322738647461
244,-11.643160820007324
245,-12.19734001159668
246,-11.976348876953125
247,-12.304349899291992
248,-11.488031387329102
249,-11.883430480957031
250,-11.257624626159668
251,-11.88282585144043
252,-11.718526840209961
253,-11.790998458862305
254,-12.188691139221191
255,-12.058988571166992
256,-12.147834777832031
257,-10.821407318115234
258,-11.774261474609375
259,-12.175252914428711
260,-11.958810806274414
261,-12.057867050170898
262,-10.264166831970215
263,-12.057867050170898
264,-10.438726425170898
265,-12.17453670501709
266,-12.178998947143555
267,-11.625093460083008
268,-11.66231918334961
269,-11.568204879760742
270,-12.120392799377441
271,-12.304349899291992
272,-11.66231918334961
273,-11.696331024169922
274,-12.140552520751953
